iter	Passed	Remaining
1123	27902	46571
1124	27924	46540
1125	27945	46509
1126	27974	46491
1127	28002	46471
1128	28024	46442
1129	28052	46422
1130	28081	46405
1131	28107	46381
1132	28128	46351
1133	28156	46330
1134	28182	46309
1135	28211	46290
1136	28239	46270
1137	28267	46250
1138	28292	46226
1139	28320	46207
1140	28343	46179
1141	28367	46152
1142	28396	46135
1143	28425	46116
1144	28452	46095
1145	28474	46065
1146	28496	46037
1147	28521	46012
1148	28542	45981
1149	28568	45958
1150	28592	45931
1151	28614	45902
1152	28636	45872
1153	28657	45841
1154	28676	45808
1155	28702	45785
1156	28727	45759
1157	28748	45729
1158	28770	45700
1159	28794	45673
1160	28818	45647
1161	28842	45621
1162	28867	45596
1163	28887	45565
1164	28909	45535
1165	28933	45508
1166	28956	45481
1167	28980	45455
1168	29007	45434
1169	29034	45413
1170	29065	45397
1171	29091	45375
1172	29117	45351
1173	29144	45330
1174	29175	45314
1175	29203	45294
1176	29230	45273
1177	29256	45251
1178	29280	45224
1179	29303	45196
1180	29331	45177
1181	29354	45149
1182	29381	45127
1183	29408	45105
1184	29432	45079
1185	29459	45059
1186	29488	45039
1187	29510	45011
1188	29531	44979
1189	29556	44955
1190	29582	44932
1191	29610	44912
1192	29631	44882
1193	29655	44856
1194	29675	44824
1195	29700	44799
1196	29725	44774
1197	29752	44752
1198	29777	44729
1199	29798	44698
1200	29822	44671
1201	29843	44641
1202	29865	44611
1203	29886	44581
1204	29912	44558
1205	29936	44532
1206	29958	44502
1207	29986	44482
1208	30017	44468
1209	30048	44451
1210	30076	44431
1211	30102	44408
1212	30126	44383
1213	30150	44355
1214	30178	44336
1215	30203	44312
1216	30228	44287
1217	30252	44260
1218	30279	44239
1219	30305	44216
1220	30335	44198
1221	30361	44175
1222	30388	44154
1223	30417	44135
1224	30439	44106
1225	30463	44080
1226	30488	44055
1227	30511	44027
1228	30532	43997
1229	30554	43968
1230	30578	43942
1231	30602	43916
1232	30622	43885
1233	30646	43858
1234	30670	43832
1235	30696	43809
1236	30720	43782
1237	30739	43750
1238	30760	43720
1239	30781	43689
1240	30812	43673
1241	30837	43649
1242	30858	43619
1243	30880	43589
1244	30903	43563
1245	30929	43540
1246	30954	43515
1247	30981	43493
1248	31007	43470
1249	31036	43451
1250	31059	43424
1251	31087	43402
1252	31112	43378
1253	31140	43357
1254	31164	43333
1255	31187	43304
1256	31217	43286
1257	31242	43262
1258	31266	43237
1259	31292	43213
1260	31318	43190
1261	31347	43170
1262	31374	43149
1263	31397	43121
1264	31424	43099
1265	31448	43074
1266	31477	43054
1267	31504	43032
1268	31527	43006
1269	31550	42978
1270	31572	42949
1271	31594	42920
1272	31622	42900
1273	31646	42874
1274	31669	42847
1275	31696	42825
1276	31719	42797
1277	31744	42772
1278	31766	42744
1279	31790	42718
1280	31815	42694
1281	31840	42669
1282	31861	42639
1283	31887	42615
1284	31907	42584
1285	31927	42553
1286	31950	42526
1287	31977	42504
1288	32003	42481
1289	32029	42457
1290	32054	42433
1291	32076	42404
1292	32101	42379
1293	32128	42358
1294	32157	42337
1295	32182	42314
1296	32209	42292
1297	32231	42264
1298	32255	42237
1299	32282	42215
1300	32315	42200
1301	32336	42171
1302	32360	42145
1303	32388	42125
1304	32417	42104
1305	32445	42084
1306	32469	42059
1307	32491	42030
1308	32517	42006
1309	32545	41985
1310	32572	41964
1311	32593	41934
1312	32620	41912
1313	32642	41883
1314	32667	41858
1315	32689	41830
1316	32710	41801
1317	32732	41772
1318	32758	41748
1319	32779	41718
1320	32800	41690
1321	32821	41660
1322	32848	41637
1323	32869	41607
1324	32895	41585
1325	32922	41562
1326	32948	41539
1327	32975	41517
1328	32999	41491
1329	33024	41467
1330	33052	41445
1331	33078	41422
1332	33107	41402
1333	33130	41375
1334	33152	41347
1335	33176	41321
1336	33203	41299
1337	33228	41274
1338	33258	41256
1339	33286	41235
1340	33315	41215
1341	33342	41193
1342	33368	41169
1343	33397	41150
1344	33424	41128
1345	33454	41109
1346	33474	41078
1347	33498	41053
1348	33519	41023
1349	33546	41001
1350	33571	40976
1351	33593	40948
1352	33618	40923
1353	33642	40898
1354	33663	40867
1355	33684	40838
1356	33708	40813
1357	33730	40784
1358	33754	40758
1359	33774	40728
1360	33795	40699
1361	33818	40671
1362	33841	40644
1363	33862	40615
1364	33889	40592
1365	33916	40570
1366	33937	40541
1367	33965	40519
1368	33989	40495
1369	34019	40476
1370	34047	40454
1371	34072	40429
1372	34098	40407
1373	34123	40381
1374	34148	40356
1375	34175	40335
1376	34204	40314
1377	34232	40293
1378	34259	40271
1379	34284	40247
1380	34309	40222
1381	34339	40204
1382	34362	40176
1383	34387	40151
1384	34414	40129
1385	34438	40104
1386	34465	40081
1387	34487	40052
1388	34510	40025
1389	34531	39996
1390	34558	39974
1391	34583	39949
1392	34608	39924
1393	34634	39901
1394	34658	39875
1395	34683	39851
1396	34704	39822
1397	34725	39792
1398	34758	39776
1399	34782	39751
1400	34803	39721
1401	34828	39697
1402	34854	39673
1403	34875	39644
1404	34898	39617
1405	34922	39592
1406	34947	39567
1407	34971	39541
1408	35002	39523
1409	35029	39500
1410	35055	39478
1411	35083	39456
1412	35107	39430
1413	35130	39404
1414	35160	39385
1415	35183	39357
1416	35209	39334
1417	35240	39316
1418	35267	39294
1419	35291	39268
1420	35319	39247
1421	35342	39219
1422	35371	39199
1423	35398	39177
1424	35421	39149
1425	35445	39124
1426	35465	39093
1427	35487	39066
1428	35508	39036
1429	35532	39011
1430	35555	38984
1431	35577	38955
1432	35600	38929
1433	35621	38900
1434	35645	38875
1435	35666	38845
1436	35690	38819
1437	35711	38790
1438	35736	38766
1439	35770	38751
1440	35792	38723
1441	35813	38694
1442	35836	38667
1443	35855	38636
1444	35888	38620
1445	35910	38592
1446	35931	38563
1447	35959	38542
1448	35981	38514
1449	36010	38494
1450	36032	38466
1451	36056	38440
1452	36079	38414
1453	36110	38395
1454	36137	38372
1455	36161	38346
1456	36185	38320
1457	36210	38297
1458	36238	38275
1459	36259	38246
1460	36288	38226
1461	36316	38204
1462	36345	38184
1463	36373	38162
1464	36399	38138
1465	36424	38114
1466	36452	38092
1467	36475	38065
1468	36497	38038
1469	36523	38014
1470	36549	37990
1471	36573	37965
1472	36596	37937
1473	36617	37909
1474	36640	37882
1475	36663	37856
1476	36685	37828
1477	36710	37803
1478	36731	37774
1479	36753	37747
1480	36774	37717
1481	36795	37689
1482	36820	37664
1483	36845	37639
1484	36865	37610
1485	36890	37586
1486	36916	37562
1487	36943	37539
1488	36969	37516
1489	36999	37495
1490	37023	37470
1491	37051	37448
1492	37081	37429
1493	37108	37406
1494	37133	37382
1495	37163	37362
1496	37200	37349
1497	37223	37323
1498	37247	37297
1499	37269	37269
1500	37296	37246
1501	37322	37223
1502	37345	37196
1503	37374	37176
1504	37401	37152
1505	37430	37131
1506	37452	37104
1507	37475	37077
1508	37499	37051
1509	37524	37027
1510	37546	37000
1511	37572	36975
1512	37594	36948
1513	37614	36918
1514	37637	36892
1515	37661	36866
1516	37685	36840
1517	37707	36812
1518	37732	36788
1519	37753	36759
1520	37775	36732
1521	37795	36702
1522	37820	36678
1523	37841	36649
1524	37866	36624
1525	37891	36600
1526	37916	36575
1527	37938	36548
1528	37960	36520
1529	37983	36493
1530	38008	36469
1531	38034	36445
1532	38058	36420
1533	38087	36398
1534	38115	36377
1535	38138	36350
1536	38160	36323
1537	38185	36298
1538	38213	36276
1539	38241	36254
1540	38265	36229
1541	38292	36206
1542	38319	36183
1543	38346	36161
1544	38371	36135
1545	38393	36108
1546	38419	36085
1547	38443	36059
1548	38469	36035
1549	38494	36011
1550	38517	35984
1551	38541	35958
1552	38566	35933
1553	38586	35905
1554	38606	35875
1555	38627	35847
1556	38653	35823
1557	38680	35800
1558	38701	35771
1559	38722	35743
1560	38746	35718
1561	38772	35694
1562	38796	35669
1563	38818	35641
1564	38842	35616
1565	38864	35588
1566	38890	35564
1567	38916	35541
1568	38944	35519
1569	38971	35496
1570	39005	35479
1571	39030	35454
1572	39056	35431
1573	39085	35410
1574	39112	35387
1575	39138	35363
1576	39162	35337
1577	39190	35316
1578	39215	35291
1579	39243	35269
1580	39269	35245
1581	39296	35222
1582	39323	35199
1583	39350	35176
1584	39376	35152
1585	39398	35126
1586	39423	35100
1587	39449	35077
1588	39474	35052
1589	39496	35025
1590	39520	34999
1591	39546	34975
1592	39574	34953
1593	39597	34927
1594	39618	34899
1595	39644	34875
1596	39669	34850
1597	39692	34824
1598	39718	34800
1599	39741	34773
1600	39767	34749
